edades_train,pred_train
24.24,23.388607
46.0,55.193314
32.577686516084874,40.66443
30.0,27.496445
29.0,31.877487
45.7741273100616,39.974815
59.0,57.62036
19.0,24.481014
56.87337440109514,53.290947
14.0,18.24883
20.0,18.964369
57.50581793292265,49.227955
29.57426420260096,31.588469
20.98,17.311535
36.0,34.87011
15.0,15.450119
20.0,16.110197
72.96,72.49983
40.0,41.600502
21.8,20.220638
52.0,63.75783
10.74,13.686669
26.0,20.501469
22.0,17.919037
20.0,23.517773
29.0,30.830437
51.75359342915811,46.671745
54.0,51.33068
22.0,21.170185
56.0,54.85659
26.0,24.258638
24.0,25.554943
37.0,29.73566
72.59411362080766,74.7637
35.51540041067762,35.71014
71.54,68.16477
58.76796714579056,52.64232
36.55304585900068,31.136755
22.0,16.428125
34.0,44.053253
63.0,57.719383
65.40999315537303,69.91124
21.0,22.284496
69.06776180698152,74.666565
23.0,20.697771
22.93,20.43436
46.00684462696783,61.43213
28.56125941136208,33.202454
24.0,32.637573
25.0,25.262691
56.0,47.79132
28.0,20.900627
43.0,44.02144
18.9,22.857582
33.0,26.73651
6.47,12.278786
70.0,64.939674
24.0,17.846626
87.0,81.27571
76.0,73.82977
44.0,39.713257
35.40588637919233,37.571236
23.0,15.524225
38.0,36.502617
14.0,21.370274
46.0,42.697605
48.86,42.348106
20.0,17.220947
87.0,76.998955
21.0,27.441803
54.0,53.902542
11.0,10.150406
45.0,41.366234
62.0,63.13983
61.0,63.08379
20.0,20.871174
19.0,19.889198
21.0,17.130383
27.02,21.536034
23.0,25.418364
43.0,37.934746
63.0,70.018
17.0,18.288418
57.0,57.64982
28.0,31.021122
54.0,51.281387
11.92,13.714872
69.0,70.52835
70.0,67.46411
31.0,27.892027
23.0,26.124557
48.0,47.710464
70.0,69.22066
20.0,24.542187
13.5,16.19627
62.0,58.90084
21.0,21.546705
80.0,79.19184
53.4072553045859,59.73452
83.73,81.73371
73.0,79.32764
45.16,41.42007
24.0,29.331928
13.0,10.514877
52.0,52.906265
76.39,69.638054
57.0,54.614365
81.0,78.2169
27.0,17.23505
44.851471594798085,55.20627
61.0,48.469643
27.0,18.338522
20.0,21.746084
26.0,21.178284
21.0,15.731915
70.31,58.260082
18.5,20.68084
19.0,20.131287
38.0,45.66954
29.0,30.551048
68.15058179329226,65.312195
23.0,23.55574
42.0,37.02031
51.0,51.10914
36.0,32.005684
65.0,61.763466
18.0,28.944454
73.0,74.50212
72.0,76.729324
23.0,20.597649
73.0,75.79468
18.9,25.891466
56.0,55.823227
20.0,23.235428
43.0,46.48864
50.0,51.128113
34.0,28.642542
49.0,41.34772
62.0,61.38459
44.0,41.687714
30.6,30.602005
21.0,19.240097
26.87748117727584,28.179276
66.0,53.831604
74.0,72.82425
27.0,29.744034
27.0,29.463947
29.0,30.203354
50.0,53.003548
20.0,22.382479
19.5,15.042055
67.0,69.496925
71.0,72.97894
50.0,55.364147
17.2,23.80274
46.0,30.109737
37.0,49.209938
19.0,10.694734
62.0,56.223503
24.56947296372348,28.165125
63.0,64.095085
21.0,29.577187
22.0,19.30313
45.0,40.564186
55.56,58.26408
14.06,12.955542
41.0,30.762798
44.0,46.979797
62.0,65.58612
71.0,74.253296
74.0,70.25874
23.0,24.187689
21.0,18.756775
18.0,23.748463
47.61,38.570816
20.0,19.284935
22.0,28.785229
35.33,36.497
19.0,14.097709
28.347707049965777,25.719955
22.44,22.947182
77.0,75.68435
23.0,25.645016
40.05,30.423107
27.0,26.347345
24.0,20.284893
23.0,22.191132
20.908966461327857,27.234245
83.22,80.87248
28.0,19.195957
45.256673511293634,41.143784
21.0,27.401104
54.0,56.243076
18.0,20.714474
30.0,24.229012
26.64,18.789589
58.0,60.560837
74.0,76.78311
74.0,68.575134
70.6,66.531525
13.58,13.109826
31.98,23.433819
22.0,30.456177
19.0,14.748564
18.0,16.912481
54.0,38.340973
21.0,29.523106
77.0,68.056564
56.0,56.303204
36.0,21.349354
64.0,61.632935
65.0,59.7957
54.0,44.731815
25.52,21.472727
30.95,27.436638
23.0,21.28366
59.88227241615332,62.122757
48.4,41.99328
16.0,16.016708
17.3,23.384457
20.0,22.27773
19.9,20.143099
63.044490075290895,58.159985
21.8,26.785168
73.0,72.42403
30.74,30.325722
67.33196440793976,71.68373
27.0,25.234356
21.0,21.396114
22.82,17.916647
62.0,55.953285
29.0,24.409199
20.0,16.24023
20.0,24.114456
51.0,45.66401
45.0,38.766563
20.0,18.630306
26.39835728952772,32.097366
21.0,20.375137
70.0,71.623825
13.0,15.468809
35.455167693360714,34.874382
26.05,19.960022
20.0,16.793541
22.0,25.920021
77.79,75.03195
16.0,21.04676
83.0,79.38625
58.37645448323067,58.659157
28.0,29.933205
21.0,14.769848
66.0,64.077805
32.936344969199176,36.64879
75.0,75.55591
34.0,39.681343
29.0,20.119808
60.0,52.181885
67.76728268309377,55.216278
20.92,21.785992
10.5,15.450039
68.0,74.55932
26.0,33.893955
38.58726899383984,43.03519
70.0,72.30672
24.29,21.661783
61.0,48.421585
75.82751540041068,76.99405
21.0,19.530937
52.498288843258045,55.966957
78.0,80.16193
61.0,63.473213
74.0,72.63933
23.56,33.527855
59.0,62.92673
46.0,51.72368
26.0,29.752537
25.34,26.764263
14.38,18.315271
24.0,24.352036
19.0,20.238874
19.0,25.054996
21.0,22.005564
60.0,53.654236
41.0,34.157043
35.0,27.932846
65.23,51.544662
24.0,26.850342
66.0,64.34857
23.62,16.908216
23.03901437371664,26.36234
53.30595482546201,47.029476
34.0,37.852455
40.0,51.28901
62.0,60.992172
60.0,59.24195
40.09,43.666702
85.0,78.78854
68.0,71.78265
34.9,33.611908
56.0,61.851562
28.96,21.706516
20.0,24.753082
17.0,19.953295
21.0,21.854546
51.29089664613279,54.286503
30.0,27.533838
45.0,32.66894
25.0,24.800747
29.0,27.032501
25.93839835728953,17.413944
61.0,62.8798
37.0,31.456448
74.0,71.07155
20.0,22.24558
23.0,31.02089
14.0,12.899781
9.0,12.351181
30.0,26.775822
21.0,17.683018
34.012320328542096,24.177948
60.0,62.24037
26.0,22.352543
22.0,19.269676
15.9,16.93236
58.56810403832991,54.304092
70.0,76.91916
26.0,26.883434
23.02,25.711475
26.98425735797399,23.983135
20.0,21.864624
34.0,31.052647
80.0,77.781105
76.0,67.83283
20.0,16.693882
48.0,36.747868
56.0,51.663227
52.0,46.201675
63.24709103353867,59.377434
58.0,65.29713
23.0,27.420832
